Référence ENI,Titre,Sous-titre,Mention de responsabilité,Edition,Date d'édition,Nom auteur1,Prénom auteur1,Nom auteur2,Prénom auteur2,Nom auteur3,Prénom auteur3,Nom auteur4,Prénom auteur4,Nom auteur 5,Prénom auteur 5,Nom auteur 6,Prénom auteur 6,Nº pages,Langue,Langue d'origine,Pays de publication,Forme de la ressource,Données codées,Préface,Résumé,Type de ressource,Type de ressource électronique,Note sur la configuration requise,ISBN (Version Imprimée),Version imprimée,ISBN (Version Num.),Version numérique,Ville,Editeur,Année d'édition,Type de document électronique,Collection,URL,Accès au travers du portail ENI,Mot clé 1,Mot clé 2,Mot clé 3,Mot clé 4,Mot clé 5,Mot clé 6,Mot clé 7,Mot clé 8,Mot clé 9,Mot clé 10,Mot clé 11,Mot clé 12,Mot clé 13,Mot clé 14,Mot clé 15,Mot clé 16,Mot clé 17,Mot clé 18,Mot clé 19,Mot clé 20,Mot clé 21,Mot clé 22,Mot clé 23,Mot clé 24,Mot clé 25,Mot clé 26,Mot clé 27,Mot clé 28,Mot clé 29,Mot clé 30,Mot clé 31,Mot clé 32,Mot clé 33,Mot clé 34
RI2JAPOO,Apprendre la Programmation Orientée Objet avec le langage Java,(avec exercices pratiques et corrigés),Luc Gervais,2ème édition,Édition du 16 mai 2018,Gervais,Luc,,,,,,,,,,,385,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre s'adresse aux étudiants et aux développeurs ayant déjà une première expérience de la programmation structurée et qui sont désireux de passer à la Programmation Orientée Objet (POO) avec le langage Java, pour développer des applications portables.
Après un historique de la POO et du langage Java l'auteur explique pourquoi ce type de programmation est devenu incontournable pour développer dans les environnements graphiques événementiels. Les notions d'objet, de classe et de référence sont présentées puis les fondements de la POO que sont l'encapsulation, l'héritage, le polymorphisme et l'abstraction. Les différentes étapes d'un développement objet avec les principes de modélisation UML sont exposées.
L'auteur présente ensuite la machine virtuelle Java, son intérêt, sa richesse et un environnement de développement avec IntelliJ IDEA de la société JetBrains. Le lecteur découvre comment Java reproduit les principes de la POO en suivant des explications simples, des exemples concrets et en réalisant des exercices d'entraînement. Il découvre également les types de base du développement Java et leur utilisation, comment exploiter un IDE pour simplifier la saisie des programmes et les mettre au point. Les programmes d'essais sont de type console ou graphique, basés sur l'utilisation de Swing pour illustrer les communications entre objets. Quand ils sont pertinents, des parallèles sont menés avec les langages de programmation objet C++ et C#. La programmation multithread permettant l'exécution simultanée de plusieurs flux d'instructions est présentée, suivie d'une introduction aux tests unitaires tellement importants pour fiabiliser les objets. Enfin, le dernier chapitre est consacré à la réflexion en Java qui promet quelques surprises.
À la fin de ce livre, le lecteur disposera de bases solides pour appréhender les puissantes API Java et réaliser des programmes objet modulaires, fiables et extensibles.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Introduction à la POO - La conception orientée objet - Introduction à la plate-forme Java - Les types en Java - Création de classes - Héritage et polymorphisme - Communication entre objets - Le multithreading - Les tests - La réflexion",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01364-5,Version imprimée,978-2-409-01366-9,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Ressources Informatiques,%SITE_CLIENT%/?library_guid=8d992991-a4e9-4f79-a3a3-05d313901a2b,Accès au travers du portail ENI,livre poo,encapsulation,héritage,polymorphisme,abstraction,multithread,Windows Forms,uml,netbeans,,,,,,,,,,,,,,,,,,,,,,,,,
SF18CCIND,InDesign CC (édition 2018),,Christophe Aubry,,Édition du 16 mai 2018,Aubry,Christophe,,,,,,,,,,,580,fre,fre,FR,s,drcn#nnnmnnbn,,"Découvrez dans ce livre les fonctionnalités de PAO du logiciel InDesign CC 2018. Ce livre, paru en 2018, a été rédigé avec la version 13.0.1 d'InDesign. Après la présentation de l'interface commune aux logiciels de la suite Adobe, vous découvrirez comment créer une page avec tous les éléments nécessaires à la composition. Ensuite vous y ajouterez des blocs de texte ou d'images et apprendrez à les manipuler. 
Vous verrez comment mettre en forme le texte, avec notamment les feuilles de styles qui permettent une mise en forme structurée et vous apprendrez à insérer des tableaux bien formatés. Vous découvrirez ensuite comment mettre en valeur les pages avec la gestion des images et des éléments graphiques (dessin, effets...) qui la composent. 
Puis vous verrez comment créer des gabarits qui permettent d'élaborer des compositions homogènes et comment réaliser des livres composés d'une table des matières et d'un index. Vous apprendrez à utiliser les bibliothèques CC stockées sur le cloud avant d'aborder la diffusion de vos documents avec la création de PDF, la gestion de l'impression et la publication en ligne.",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01354-6,Version imprimée,978-2-409-01356-0,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Studio Factory,%SITE_CLIENT%/?library_guid=f29eb7b3-da93-4a2b-a13b-532b1cfa0de7,Accès au travers du portail ENI,Adobe,PAO,mise en page,index,table des matières ,InD,livres,gabarits,bibliothèques CC,PDF,,,,,,,,,,,,,,,,,,,,,,,,
DPGJRGPD,Guide Juridique du RGPD, La réglementation sur la protection des données personnelles,Gérard Haas,,Édition du 11 avril 2018,Haas,Gérard ,,,,,,,,,,,204,fre,fre,FR,s,drcn#nnnmnnbn,,"Actuellement, nous générons en une seule journée plus de données qu'il n'en a été produites entre le début de l'humanité et l'an 2000. à l'ère du numérique, les modèles économiques fondés sur l'exploitation des « datas » et, en particulier les données personnelles, constituent un enjeu majeur pour les entreprises.
Assurer la libre circulation des personnes à l'intérieur de l'Union sans unifier totalement la protection de leurs données qui pourtant circulent elles aussi dans toute l'Europe, n'aurait pas été acceptable pour les citoyens européens en ce début du XXIe siècle. Le RGPD est donc la pierre angulaire de l'Europe de la protection des données. La protection des données à caractère personnel constitue l'une des dimensions du droit au respect de la vie privée ; elle est désormais consacrée comme un droit fondamental à part entière dans la Charte des droits fondamentaux de l'Union européenne (article 8). Le nouveau cadre juridique européen renforce les droits des personnes, responsabilise davantage l'ensemble des acteurs qui traitent des données personnelles tout en leur fournissant des outils pour se mettre en conformité (délégué à la protection des données, analyse d'impact, etc.). 
Le règlement améliore la crédibilité de la régulation en mettant en place une coopération plus forte entre les autorités de régulation européennes et un niveau plus élevé de sanctions. Il définit les principes à respecter lors de la collecte, du traitement et de la conservation de données personnelles. Il garantit également un certain nombre de droits pour les personnes concernées. Cependant, la mise en œuvre de ces principes est un véritable casse-tête pour les entreprises. 
L'objectif de ce guide est d'aider les entreprises à faire de la nouvelle loi Informatique et libertés, une opportunité et non une contrainte au service de l'innovation, de la compétitivité et de la confiance.Après avoir décrit le contexte de l'adoption de la nouvelle Loi  Informatique et libertés et du RGPD et expliqué le concept d'Accountability,  l'ouvrage s'intéresse à l'identification des traitements de données à  caractère personnel (Chapite1) puis à déterminer comment le responsable de  traitement doit s'assurer de la licéité des traitements (Chapitre 2),  quels sont les outils dont il dispose pour sa « compliance »  (Chapitre 3) et pour sécuriser les traitements (Chapitre 4).

Les chapitres du livre :
Avant-propos - Introduction - Identifier les traitements - S'assurer de la licéité des traitements - Les outils de la Compliance - Sécuriser les traitements - Bibliographie, liens utiles",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01322-5,Version imprimée,978-2-409-01331-7,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,DataPro,%SITE_CLIENT%/?library_guid=93e53cd8-faaf-41bd-98a9-410dc0e0cd8e,Accès au travers du portail ENI,GDPR,CNIL,protection des données,Privacy by design,Privacy by default,PIA,DPO,LIL,,,,,,,,,,,,,,,,,,,,,,,,,,
DPIACB,Intelligence Artificielle et Cognitive business,,Jean-Michel Rodriguez,,Édition du 11 avril 2018,Rodriguez,Jean-Michel ,,,,,,,,,,,344,fre,fre,FR,s,drcn#nnnmnnbn,,"L'Intelligence Artificielle ou IA est au cœur de nombreux débats et est le fer de lance de la majorité des entreprises. Il ne se passe plus une journée sans qu'une communication ne soit faite sur une nouvelle intelligence artificielle capable d'en faire plus que la précédente. La guerre industrielle est lancée et tout prête à imaginer qu'elle ne se terminera que par une entité artificielle égale ou supérieure à l'humain. C'est dans ce nouveau monde qui se prépare qu'apparaît la branche cognitive de l'intelligence artificielle qui s'appuie sur des domaines et outils tels que l'apprentissage et l'auto-apprentissage, les réseaux de neurones, la langue naturelle, les arbres de décision, et dont les objectifs sont de déduire des faits marquants, repérer des motifs, prédire des tendances, imaginer de nouveaux services à mettre en place et ainsi aider l'humain à décider. 
J'ai voulu ce livre accessible au plus grand nombre, même s'il aborde parfois des points techniques assez pointus, chacun pourra y trouver les informations au niveau qu'il le désire ainsi que des sources d'information qui lui permettront, si nécessaire, d'aller plus loin. 
La structure de ce livre est une progression, néanmoins les chapitres peuvent être abordés séparément. Je décris tout d'abord les aspects et les domaines de l'intelligence artificielle, j'aborde ensuite les différents types de données et leur utilisation, puis je détaille le processus cognitif et par extension ce qu'est le « Cognitive Business». Un chapitre est consacré à la transformation digitale des entreprises et je fournis des exemples concrets de cette digitalisation. Enfin, pour terminer ce livre, je fais le tour des futurs probables de l'intelligence artificielle, leurs avantages et leurs risques, tels qu'ils sont décrits par certains de nos scientifiques, chercheurs et entrepreneurs.

Les chapitres du livre :
Introduction - Les domaines de l'Intelligence Artificielle - Les données - Le Cognitive Business - La transformation digitale - Le futur de l'Intelligence Artificielle - Conclusion",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01342-3,Version imprimée,978-2-409-01343-0,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,DataPro,%SITE_CLIENT%/?library_guid=8f02feb6-7921-40b3-ba1f-94fec97bbf59,Accès au travers du portail ENI,robotique,IA,informatique cognitive,big data,transformation digitale,machine learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPSADEB,Debian GNU/Linux,Maîtrisez la sécurité des applications,Philippe Pierre,,Édition du 11 avril 2018,Pierre,Philippe,,,,,,,,,,,475,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur la sécurité des applications d'un système Debian GNU/Linux s'adresse principalement aux administrateurs d'infrastructures mais aussi à toute personne en charge d'applications critiques nécessitant de la haute disponibilité. Un minimum de connaissances sur le fonctionnement des services web, de la messagerie, sur la gestion du stockage ainsi que sur le cloud est nécessaire afin de tirer le meilleur profit de ce livre. La lecture des livres Debian GNU/Linux - Maîtrisez la sécurité du système et Debian GNU/Linux - Maîtrisez la sécurité des infrastructures du même auteur est également un plus.
L'auteur donne au lecteur les informations nécessaires pour gérer efficacement la sécurité des applications web, des serveurs d'administration (DNS, DHCP, NIS, LDAP), des bases de données ainsi que des applications de stockage et de la messagerie.
Ainsi, vous découvrirez comment sécuriser des services web tels que des serveurs de documentation wiki ou des blogs WordPress ou comment sécuriser des annuaires. Vous étudierez ensuite la sécurisation des données et la gestion du stockage en prenant l'exemple d'un serveur NAS. Vous passerez à la sécurisation d'un serveur de messagerie en étudiant les questions de filtrage de distribution, d'authentification via le protocole SASL ou encore de chiffrement avec des certificats TLS/SSL. Avec un chapitre sur la sécurité de l'Internet des Objets, l'auteur apporte des éléments clés pour minimiser les intrusions potentielles via les équipements. Pour finir, le dernier chapitre, tour d'horizon des applications d'hébergement dans le Cloud, décrit les nouvelles perspectives de la cybersécurité 2.0 (OpenStack, Duplicity).
À l'issue de cette lecture, vous serez en mesure d'accroître considérablement la sécurité des applications dans un système Debian/GNU Linux.

Les chapitres du livre :
Avant-propos - Sécurisation d'applications web - Sécurisation d'annuaires - Sécurisation des données et du stockage - Sécurisation de la messagerie - Sécurisation de l'Internet des objets - Sécurité et Cloud - Conclusion - Glossaire",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01332-4,Version imprimée,978-2-409-01333-1,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=971a2390-a471-4e65-add7-5d22bb4b6a56,Accès au travers du portail ENI,livre debian,gnu,Linux,service web,messagerie,stockage,cloud,DNS,DHCP,NIS,LDAP,bases de données,NAS,SASL,TLS,SSL,,,,,,,,,,,,,,,,,,
EPPOWDSC,PowerShell DSC,Simplifiez et accélérez vos configurations système,Thierry Bollet,,Édition du 11 avril 2018,Bollet,Thierry ,,,,,,,,,,,492,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur Microsoft PowerShell DSC (Desired State  Configuration), en version 5.1 au moment de l'écriture, s'adresse aux ingénieurs  système désireux d'accélérer, de simplifier et d'homogénéiser la configuration  de leurs environnements de production. Des connaissances basiques sur les  environnements Windows Server, PowerShell et Hyper-V sont utiles pour bien  appréhender PowerShell DSC.
Tout au long du livre, l'auteur accompagne le lecteur dans  un mode pas à pas et chaque exemple concret est mis en œuvre dans une série  d'exercices pratiques pour apprendre à réaliser les opérations des plus  simples aux plus complexes.
Dans les premiers chapitres le lecteur crée l'environnement  de test et met en place la fonctionnalité DSC sur les machines de cet  environnement.
Avec les chapitres qui suivent, le lecteur crée ses  premières configurations et apprend à les déployer sur les serveurs  distants. Ensuite, chaque ressource DSC est étudiée et mise en œuvre et le module  de commandes DSC est passé en revue.
L'auteur traite ensuite la mise en place de serveurs  collecteurs permettant aux machines de venir chercher une configuration  dédiée, le renforcement de la sécurité des configurations à l'aide des  certificats, l'utilisation de DSC sur des machines Linux, les audits et rapports DSC ainsi que le dépannage des configurations.
À la fin de cette lecture, le lecteur disposera de  connaissances et de compétences suffisantes pour mettre en œuvre PowerShell  DSC. 
Des éléments complémentaires sont en téléchargement sur le  site www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Plateforme de tests Windows - Présentation DSC - Méthode Push - Comprendre les ressources - Utiliser les fonctions et commandes du module DSC - Déployer et utiliser DSC - Utiliser DSC, méthode avancée - DSC pour Linux - Audits et rapports DSC - Troubleshooting DSC - Pour aller plus loin",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01339-3,Version imprimée,978-2-409-01340-9,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=0bd6def9-a053-4e85-aa2d-97faff21ea3b,Accès au travers du portail ENI,livre powershell dsc,scripting,desired state configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI2CPOWFOL,PowerShell Core et Windows PowerShell,Les fondamentaux du langage,"Robin Lemesle, Arnaud Petitjean",2ème édition,Édition du 11 avril 2018,Lemesle,Robin ,Petitjean,Arnaud ,,,,,,,,,666,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur les fondamentaux de Windows PowerShell (toutes versions) et de PowerShell Core (versions multiplateforme et Open Source) a été écrit par les fondateurs de la communauté PowerShell francophone (www.powershell-scripting.com). Il s'adresse aux professionnels de l'informatique désireux de s'initier aux techniques du scripting. Ce livre propose une approche progressive et didactique afin que les vrais débutants, c'est-à-dire ceux n'ayant jamais pratiqué PowerShell, puissent démarrer un apprentissage en douceur et acquérir de solides bases qui leur permettront de devenir autonomes. Les ""faux débutants"" y trouveront également leur compte car ils pourront parfaire leurs connaissances à travers les nombreuses bonnes pratiques que les auteurs ont pris soin de distiller au fil des chapitres.
Ce livre traite des bases du langage et n'est donc pas dépendant d'une version particulière de PowerShell. Lorsqu'il existe des différences d'implémentation, celles-ci sont mises en lumière et explicitées afin que les scripts puissent être portables et retro-compatibles si nécessaire.
À travers les neuf premiers chapitres, le lecteur découvrira les notions essentielles pour bien démarrer telles que : la manipulation des objets, les types de variables, les opérateurs, les tableaux, les boucles et structures conditionnelles, les fonctions, les profils, etc. Ensuite, le chapitre sur les snapins, les modules et l'accès à la PowerShell Gallery expliquera comment enrichir PowerShell avec des commandes supplémentaires. Un chapitre conséquent traite de la gestion des erreurs et du débogage. Celui-ci donnera au lecteur les bonnes techniques ainsi que les trucs et astuces à connaître pour apporter de la robustesse à ses scripts. La sécurité étant une préoccupation permanente, elle est détaillée dans un chapitre dédié. Le chapitre sur le framework .NET et .NET Core montrera que les capacités de PowerShell sont pratiquement illimitées. Un important chapitre est consacré aux technologies dites de remoting qui autorisent l'exécution de commandes et de scripts PowerShell à distance : celui-ci précisera comment bien aborder ces technologies notamment sur l'aspect du paramétrage (tant sur WinRM que sur SSH) et sur les pièges à éviter (rebond, etc.).
Enfin, les derniers chapitres permettront au lecteur de mettre en œuvre PowerShell dans le monde de l'entreprise à l'aide de nombreux cas concrets d'utilisation, et de découvrir l'écosystème PowerShell à travers la présentation d'outils tiers et d'acteurs importants du marché.
Des éléments complémentaires sont en téléchargement sur le site www.editions-eni.fr et sur le site de la communauté PowerShell francophone : PowerShell-Scripting.com.

Les chapitres du livre :
Avant-propos - Introduction - à la découverte de PowerShell - Manipulation des objets - Variables et types de données - Opérateurs - Tableaux - Boucles et conditions - Fonctions et scripts - Gestion des fichiers et des dates - Profils PowerShell - Snapins, modules et PowerShell Gallery - Gestion des erreurs et débogage - Sécurité - Framework .NET et .NET Core - CMI / WMI - Exécution à distance - études de cas - Ressources complémentaires - Conclusion - Annexes",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01328-7,Version imprimée,978-2-409-01334-8,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=246dd8a4-55a3-41cd-80aa-175675b73476,Accès au travers du portail ENI,livre PowerShell,script,Microsoft,powershel,monad,batch,scripting,remoting,powershell Core,,,,,,,,,,,,,,,,,,,,,,,,,
EPDSAZ,Data Science avec Microsoft Azure,Maîtrisez le Machine Learning sur Cortana Intelligence Suite,Madjid Khichane,,Édition du 14 mars 2018,khichane,Madjid,,,,,,,,,,,346,fre,fre,FR,s,drcn#nnnmnnbn,,"Préface de Pierre BRUNO - Vice-Président et Directeur Général, Europe du Sud, DXC Technology

Ce livre sur la Data Science a pour objectif de donner au lecteur les connaissances théoriques et pratiques nécessaires pour appréhender le Machine Learning sous Microsoft Azure. Les étudiants ou les lecteurs novices découvriront pas à pas et à travers des exemples pratiques les concepts algorithmiques du Machine Learning et la solution Cortana Intelligence Suite. Les lecteurs avertis ou les Data Scientists découvriront l'environnement de développement et de déploiement des modèles prédictifs Microsoft Azure Machine Learning Studio.
Dans le premier chapitre, l'auteur donne les clés pour comprendre les enjeux de la Data Science, les notions fondamentales du Machine Learning, la démarche théorique d'une expérimentation Data Science, les notions de modélisation d'un problème et le choix des métriques pour mesurer les performances d'un modèle. 
Le deuxième chapitre est entièrement dédié à la présentation de la solution Cortana Intelligence Suite. Le lecteur est ainsi invité à développer et à configurer les composants les plus couramment utilisés de cette solution. 
Les chapitres suivants permettent au lecteur de découvrir les notions mathématiques sous-jacentes aux algorithmes du Machine Learning (régression, arbres de décision, algorithme K-means, réseaux de neurones, Support Vector Machine…) et d'appliquer ces algorithmes sur des exemples concrets dans l'environnement Microsoft Azure Machine Learning Studio. Le dernier chapitre de ce livre est consacré aux possibilités d'extension de l'environnement Azure Machine Learning Studio avec le langage R.
Les chapitres du livre :
Préface - Avant-propos - La Data Science - Microsoft Cortana Intelligence Suite - La régression linéaire et polynomiale - La régression logistique - Arbres de décision et Random Forest - L'algorithme k-means - Analyse en composantes principales - Réseaux de neurones - Support Vector Machine - R et Azure ML Studio - Conclusion",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01278-5,Version imprimée,978-2-409-01304-1,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=c87f6b1a-567a-451c-8763-365ff8383754,Accès au travers du portail ENI,Data science,Azure,ML,Cortana Intelligence Suite,Big Data,Data Scientist,Azure Machine Learning Studio,algorithme,,,,,,,,,,,,,,,,,,,,,,,,,,
EPSIDEB,Debian GNU/Linux,Maîtrisez la sécurité des infrastructures,Philippe Pierre,,Édition du 14 mars 2018,Pierre,Philippe,,,,,,,,,,,502,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur la sécurité des infrastructures construites sur un système Debian GNU/Linux s'adresse principalement aux administrateurs d'infrastructures mais aussi à toute personne en charge d'applications critiques nécessitant de la haute disponibilité. Un minimum de connaissances sur la virtualisation, sur la mise en cluster et sur les analyses forensiques est nécessaire afin de tirer le meilleur profit de ce livre. La lecture du livre Debian GNU/Linux - Maîtrisez la sécurité du système du même auteur est également un plus.
L'auteur donne au lecteur les connaissances nécessaires pour mettre en œuvre une politique de sauvegarde et des stratégies de supervision permettant d'améliorer la sécurité de son infrastructure et d'assurer un service de qualité. Pour cela, il présente une série d'outils permettant de procéder à la mise aux normes des politiques de sauvegarde et de supervision des différents équipements informatiques gérés par l'infrastructure d'entreprise. 
Vous êtes ainsi invité à étudier des outils de sauvegarde, des logiciels d'audit permettant de détecter d'éventuelles tentatives d'intrusion, des outils de surveillance et de supervision (Cacti, Shinken), la redondance de services essentiels ou encore la création de cluster au sens applicatif. Pour vous préparer à réagir en cas de grave dysfonctionnement ou de corruption, un chapitre est consacré aux suites logicielles de type forensic (Kali, Caine, Helix) qui permettent d'analyser et de tracer les causes d'éventuels problèmes. 
À l'issue de cette lecture vous serez en mesure d'accroître considérablement la sécurité d'une infrastructure sous Debian/GNU Linux.

Les chapitres du livre :
Avant-propos - Outils de sauvegarde - Outils d'audit et d'analyse - Outils de surveillance et supervision - Services système et administration - De la redondance au cluster - Loadbalancing et qualité de service - Outils forensic - Conclusion",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01287-7,Version imprimée,978-2-409-01305-8,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=f2046dce-cf79-4546-a0ee-74a839623677,Accès au travers du portail ENI,livre debian,gnu,Linux,virtualisation,cluster,forensic,sauvegarde,supervision,,,,,,,,,,,,,,,,,,,,,,,,,,
EPSSYDEB,Debian GNU/Linux ,Maîtrisez la sécurité du système,Philippe Pierre,,Édition du 14 mars 2018,Pierre,Philippe,,,,,,,,,,,506,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre sur la sécurité d'un système Debian GNU/Linux s'adresse principalement aux administrateurs d'infrastructures, mais aussi à toute personne en charge de serveurs critiques nécessitant de la haute disponibilité. Un minimum de connaissances du système d'exploitation GNU/Linux et de la virtualisation est nécessaire afin de tirer le meilleur profit de la lecture de ce livre.
L'auteur donne au lecteur les connaissances nécessaires pour appréhender la sécurisation du système et la sûreté de fonctionnement des serveurs pour les rendre moins permissifs aux maliciels et aux attaques de tout genre.
Ainsi, vous découvrirez la démarche à adopter pour mettre en œuvre un mode sécurisé sur les différentes strates du système : démarrage, noyau, fonctionnalités de base (gestion des quotas, paramétrage des droits utilisateurs ou des répertoires) ainsi que les flux réseau.
Vous étudierez également la protection contre les virus, le spam ainsi que les outils de mise à jour du système d'exploitation (signatures GPG, Puppet…).
À l'issue de cette lecture vous serez en mesure d'accroître considérablement la sécurité de votre système Debian/GNU Linux.

Les chapitres du livre :
Avant-propos - Introduction - Outils noyau et initialisation - Outils de base - Outils Serveur - Outils réseau - Outils antivirus - Outils de mise à jour - Conclusion - Glossaire",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01286-0,Version imprimée,978-2-409-01306-5,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Epsilon,%SITE_CLIENT%/?library_guid=faf64496-4c5c-4885-bb84-4d7a43ee20b3,Accès au travers du portail ENI,livre debian,gnu,Linux,noyau,mémoire,système,réseau,aliciel,,,,,,,,,,,,,,,,,,,,,,,,,,
EI4DES,Design Patterns en Java,Les 23 modèles de conception - descriptions et solutions illustrées en UML 2 et Java ,Laurent Debrauwer,4ème édition,Édition du 14 mars 2018,Debrauwer,Laurent,,,,,,,,,,,390,fre,fre,FR,s,drcn#nnnmnnbn,,"Ce livre présente de façon concise et pratique les 23 modèles de conception (design patterns) fondamentaux en les illustrant par des exemples pertinents et rapides à appréhender. Chaque exemple est décrit en UML et en Java sous la forme d'un petit programme complet et exécutable. Pour chaque pattern, l'auteur détaille son nom, le problème correspondant, la solution apportée, ses domaines d'application et sa structure générique.
Le livre s'adresse aux concepteurs et développeurs en Programmation Orientée Objet. Pour bien l'appréhender, il est préférable de disposer de connaissances sur les principaux éléments des diagrammes de classes UML et de la version 1.6 ou ultérieure du langage Java.
Le livre est organisé en 5 parties. Dans la première, l'auteur introduit la notion de pattern de conception. Les trois parties suivantes détaillent chacune des trois familles des patterns de conception : les patterns de construction, les patterns de structuration et les patterns de comportement. Pour finir, la dernière partie présente trois variantes de patterns existants, montrant la grande souplesse de mise en œuvre de ces modèles. Le pattern composé MVC (Model-View-Controller) y est également présenté. Cette nouvelle édition du livre s'enrichit d'un chapitre sur des concepts avancés de la programmation par objets qui permet au lecteur d'approfondir ses connaissances.
Les exemples utilisés dans le livre sont issus d'une application de vente en ligne de véhicules et sont en téléchargement sur le site www.editions-eni.fr.

Les chapitres du livre :
Avant-propos - Partie Introduction : Introduction aux patterns de conception - Une étude de cas : la vente en ligne de véhicules - Partie Patterns de construction  : Introduction aux patterns de construction - Le pattern Abstract Factory - Le pattern Builder - Le pattern Factory Method - Le pattern Prototype - Le pattern Singleton - Partie Patterns de structuration : Introduction aux patterns de structuration - Le pattern Adapter - Le pattern Bridge - Le pattern Composite - Le pattern Decorator - Le pattern Facade - Le pattern Flyweight - Le pattern Proxy - Partie Patterns de comportement : Introduction aux patterns de comportement - Le pattern Chain of Responsibility - Le pattern Command - Le pattern Interpreter - Le pattern Iterator - Le pattern Mediator - Le pattern Memento - Le pattern Observer - Le pattern State - Le pattern Strategy - Le pattern Template Method - Le pattern Visitor - Partie Application des patterns : Compositions et variations de patterns - Le pattern composite MVC - Les patterns dans la conception de logiciels - Partie annexe : Java avancé et conception par objets - Exercices",Ressource électronique,Type de ressource électronique : données textuelles et illustrations sur pages HTML,Configuration requise : Nécessite un accès à Internet,978-2-409-01281-5,Version imprimée,978-2-409-01306-5,Version numérique,St-Herblain,Editions ENI,2018,Données textuelles et illustrations sur pages HTML,Expert IT,%SITE_CLIENT%/?library_guid=989b6718-12c9-4895-a1fd-2bfbadda4b83,Accès au travers du portail ENI,livre java,livre design patterns,uml,uml2,uml 2,GoF,POO,MVC ,motif de conception,patron de conception,Abstract Factory,Builder,Factory Method,Prototype,Singleton,Adapter,Bridge,Composite,Decorator,Façade ,Flyweight,Proxy ,Chain of Responsibility,Command,Interpreter,Iterator,Mediator,Memento,Observer,State,Strategy,Template Method,Visitor,
